Dungeon Name,Adventurer 1 Class,Adventurer 1 Level,Adventurer 2 Class,Adventurer 2 Level,Adventurer 3 Class,Adventurer 3 Level,Adventurer 4 Class,Adventurer 4 Level,Encounter 1,Encounter 2,Encounter 3,Encounter 4,Encounter 5,Encounter 6,Encounter 7,Encounter 8,Encounter 9,Encounter 10,Encounter 11,Encounter 12,Threat Level,# Encounters,# Encounters Beaten,Victory?,Defeated By,# of Fighter Adventurers,Total Level of Fighter Adventurers,Max Level of Fighter Adventurers,# of Ranger Adventurers,Total Level of Ranger Adventurers,Max Level of Ranger Adventurers,# of Mage Adventurers,Total Level of Mage Adventurers,Max Level of Mage Adventurers,# of Cleric Adventurers,Total Level of Cleric Adventurers,Max Level of Cleric Adventurers,# of Druid Adventurers,Total Level of Druid Adventurers,Max Level of Druid Adventurers,# of Rogue Adventurers,Total Level of Rogue Adventurers,Max Level of Rogue Adventurers,# of Goblins Encounters,# of Goblin Chieftain Encounters,# of Wolves Encounters,# of Orcs Encounters,# of Orc Warlord Encounters,# of Orc Shaman Encounters,# of Skeletons Encounters,# of Zombies Encounters,# of Ghosts Encounters,# of Basilisk Encounters,# of Lich Encounters,# of Dragon Encounters,# of Boulder Trap Encounters,# of Lever Puzzle Room Encounters,# of Riddle Door Encounters,# of Cursed Altar Encounters,# of Snake Pit Encounters,# of Poison Needle Trap Encounters
Night Goblin Hole of Azmar,Druid,4,Rogue,5,Ranger,3,Ranger,4,Boulder Trap,Ghosts,Boulder Trap,Goblins,Goblins,Goblins,Goblin Chieftain,,,,,,3.2250000000000005,7,4,0,Goblins,0,0,0,2,7,4,0,0,0,0,0,0,1,4,4,1,5,5,3,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0
Old Den of Almadris,Druid,3,Rogue,3,Mage,3,Mage,4,Zombies,Skeletons,Zombies,Poison Needle Trap,Basilisk,,,,,,,,3.0,5,4,0,Basilisk,0,0,0,0,0,0,2,7,4,0,0,0,1,3,3,1,3,3,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,1
Orc Town of Lemarchand,Fighter,4,Mage,6,Rogue,5,Druid,4,Orc Shaman,Orcs,Orcs,Boulder Trap,Boulder Trap,Orc Shaman,Orc Warlord,,,,,,4.5,7,7,1,,1,4,4,0,0,0,1,6,6,0,0,0,1,4,4,1,5,5,0,0,0,2,1,2,0,0,0,0,0,0,2,0,0,0,0,0
Lost Treasure of Galoron,Druid,4,Fighter,2,Mage,3,Ranger,3,Snake Pit,Cursed Altar,Poison Needle Trap,Poison Needle Trap,Poison Needle Trap,Ghosts,,,,,,,3.0,6,5,0,Ghosts,1,2,2,1,3,3,1,3,3,0,0,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,3
Sunken Lair of Stormwind,Cleric,4,Mage,3,Rogue,6,Cleric,4,Lever Puzzle Room,Skeletons,Skeletons,Boulder Trap,Basilisk,,,,,,,,3.0,5,4,0,Basilisk,0,0,0,0,0,0,1,3,3,2,8,4,0,0,0,1,6,6,0,0,0,0,0,0,2,0,0,1,0,0,1,1,0,0,0,0
Dread Lair of Riverfell,Druid,4,Mage,5,Cleric,4,Druid,2,Zombies,Snake Pit,Cursed Altar,Lever Puzzle Room,Lich,,,,,,,,3.5,5,5,1,,0,0,0,0,0,0,1,5,5,1,4,4,2,6,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0
Sunken Cave of Stonefell Peak,Ranger,4,Mage,2,Rogue,5,Rogue,2,Cursed Altar,Wolves,Lever Puzzle Room,Basilisk,,,,,,,,,2.75,4,3,0,Basilisk,0,0,0,1,4,4,1,2,2,0,0,0,0,0,0,2,7,5,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
Old Cave of Cheliax,Fighter,5,Mage,4,Druid,5,Cleric,4,Poison Needle Trap,Boulder Trap,Goblins,Goblins,Dragon,,,,,,,,3.9000000000000004,5,4,0,Dragon,1,5,5,0,0,0,1,4,4,1,4,4,1,5,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
Undead Sepulcher of Icemarch,Druid,5,Cleric,5,Mage,6,Rogue,6,Boulder Trap,Ghosts,Skeletons,Skeletons,Boulder Trap,Skeletons,Zombies,Boulder Trap,Lich,,,,5.75,9,8,0,Lich,0,0,0,0,0,0,1,6,6,1,5,5,1,5,5,1,6,6,0,0,0,0,0,0,3,1,1,0,1,0,3,0,0,0,0,0
Undead Sepulcher of Darkflight Pass,Druid,5,Druid,3,Fighter,5,Cleric,4,Skeletons,Zombies,Boulder Trap,Ghosts,Boulder Trap,Boulder Trap,Skeletons,Skeletons,Zombies,,,,4.5,9,9,1,,1,5,5,0,0,0,0,0,0,1,4,4,2,8,5,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,3,0,0,0,0,0
Night Goblin Tunnels of Calantha,Cleric,4,Mage,6,Ranger,5,Fighter,6,Goblins,Poison Needle Trap,Goblins,Goblins,Poison Needle Trap,Goblins,Ghosts,Ghosts,Poison Needle Trap,Goblins,Poison Needle Trap,Goblin Chieftain,5.625,12,10,0,Poison Needle Trap,1,6,6,1,5,5,1,6,6,1,4,4,0,0,0,0,0,0,5,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4
Old Lair of Icemarch,Rogue,4,Druid,3,Mage,3,Cleric,4,Skeletons,Lever Puzzle Room,Skeletons,Skeletons,Lich,,,,,,,,3.5,5,5,1,,0,0,0,0,0,0,1,3,3,1,4,4,1,3,3,1,4,4,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0
Infernal Cave of Almadris,Mage,3,Cleric,3,Fighter,3,Druid,2,Zombies,Skeletons,Cursed Altar,Zombies,Lich,,,,,,,,3.5,5,5,1,,1,3,3,0,0,0,1,3,3,1,3,3,1,2,2,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,0,0
Abandoned Treasure of Icemarch,Fighter,3,Druid,5,Cleric,4,Rogue,4,Lever Puzzle Room,Skeletons,Skeletons,Riddle Door,Lever Puzzle Room,Skeletons,Snake Pit,Wolves,,,,,4.0,8,5,0,Skeletons,1,3,3,0,0,0,0,0,0,1,4,4,1,5,5,1,4,4,0,0,1,0,0,0,3,0,0,0,0,0,0,2,1,0,1,0
Orc Warcamp of Galoron,Druid,2,Fighter,3,Ranger,4,Mage,2,Poison Needle Trap,Wolves,Orc Warlord,,,,,,,,,,2.25,3,3,1,,1,3,3,1,4,4,1,2,2,0,0,0,1,2,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Old Den of Darkflight Pass,Rogue,2,Mage,3,Druid,2,Fighter,3,Lever Puzzle Room,Wolves,Basilisk,,,,,,,,,,2.25,3,3,1,,1,3,3,0,0,0,1,3,3,0,0,0,1,2,2,1,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Infernal Lair of Almadris,Cleric,2,Rogue,4,Fighter,2,Mage,3,Skeletons,Snake Pit,Skeletons,Lich,,,,,,,,,3.0,4,3,0,Lich,1,2,2,0,0,0,1,3,3,1,2,2,0,0,0,1,4,4,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0
Goblin Town of Icemarch,Ranger,4,Fighter,3,Cleric,4,Mage,4,Goblins,Goblins,Poison Needle Trap,Goblins,Goblins,Poison Needle Trap,Poison Needle Trap,Goblins,Goblins,Goblin Chieftain,,,3.95,10,8,0,Goblins,1,3,3,1,4,4,1,4,4,1,4,4,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Orc Keep of Almadris,Druid,5,Ranger,4,Ranger,4,Cleric,4,Orcs,Orcs,Poison Needle Trap,Orcs,Poison Needle Trap,Wolves,Orcs,,,,,,3.5,7,4,0,Poison Needle Trap,0,0,0,2,8,4,0,0,0,1,4,4,1,5,5,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Lost Temple of Almadris,Druid,2,Rogue,3,Cleric,2,Rogue,4,Boulder Trap,Skeletons,Snake Pit,Zombies,Ghosts,Goblins,Lever Puzzle Room,,,,,,3.325,7,5,0,Goblins,0,0,0,0,0,0,0,0,0,1,2,2,1,2,2,2,7,4,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0
Forgotten Treasure of Cheliax,Mage,5,Rogue,6,Ranger,5,Rogue,6,Snake Pit,Zombies,Snake Pit,Lich,Lever Puzzle Room,Cursed Altar,Lich,Zombies,,,,,6.25,8,6,0,Lich,0,0,0,1,5,5,1,5,5,0,0,0,0,0,0,2,12,6,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,1,2,0
Undead City of Calantha,Rogue,3,Mage,3,Ranger,4,Ranger,3,Skeletons,Skeletons,Poison Needle Trap,Skeletons,Poison Needle Trap,Ghosts,,,,,,,3.0,6,6,1,,0,0,0,2,7,4,1,3,3,0,0,0,0,0,0,1,3,3,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,2
Undead Pyramid of Sintharion,Fighter,5,Mage,5,Ranger,6,Rogue,6,Poison Needle Trap,Zombies,Zombies,Ghosts,Poison Needle Trap,Poison Needle Trap,Zombies,Zombies,Lich,,,,5.75,9,9,1,,1,5,5,1,6,6,1,5,5,0,0,0,0,0,0,1,6,6,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,3
Nightmare Lair of Almadris,Druid,2,Fighter,3,Rogue,4,Mage,3,Poison Needle Trap,Zombies,Boulder Trap,Riddle Door,Basilisk,,,,,,,,3.0,5,5,1,,1,3,3,0,0,0,1,3,3,0,0,0,1,2,2,1,4,4,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1
Infernal Lair of Galoron,Mage,3,Fighter,4,Druid,4,Ranger,4,Lever Puzzle Room,Riddle Door,Skeletons,Zombies,Boulder Trap,Lich,,,,,,,4.0,6,6,1,,1,4,4,1,4,4,1,3,3,0,0,0,1,4,4,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0
Nightmare Cave of Sintharion,Rogue,5,Cleric,3,Ranger,4,Cleric,3,Boulder Trap,Orcs,Riddle Door,Orcs,Basilisk,,,,,,,,3.0,5,4,0,Basilisk,0,0,0,1,4,4,0,0,0,2,6,3,0,0,0,1,5,5,0,0,0,2,0,0,0,0,0,1,0,0,1,0,1,0,0,0
Night Goblin Town of Galoron,Ranger,1,Cleric,1,Mage,2,Fighter,1,Snake Pit,Goblins,Goblins,,,,,,,,,,0.8999999999999999,3,3,1,,1,1,1,1,1,1,1,2,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Undead Pyramid of Stonefell Peak,Druid,4,Mage,3,Fighter,3,Fighter,3,Skeletons,Boulder Trap,Skeletons,Boulder Trap,Zombies,Zombies,Ghosts,,,,,,3.5,7,6,0,Ghosts,2,6,3,0,0,0,1,3,3,0,0,0,1,4,4,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,2,0,0,0,0,0
Nightmare Cave of Khaz-Gorond,Fighter,2,Fighter,1,Ranger,3,Rogue,2,Skeletons,Boulder Trap,Lich,,,,,,,,,,2.5,3,2,0,Lich,2,3,2,1,3,3,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
Orc Camp of Cheliax,Ranger,7,Ranger,4,Mage,5,Fighter,4,Orcs,Cursed Altar,Cursed Altar,Wolves,Cursed Altar,Orcs,Orcs,Wolves,Orc Warlord,,,,5.5,9,9,1,,1,4,4,2,11,7,1,5,5,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,3,0,0
Sunken Tomb of Stormwind,Cleric,3,Cleric,4,Fighter,3,Fighter,3,Skeletons,Cursed Altar,Skeletons,Zombies,Lich,,,,,,,,3.5,5,5,1,,2,6,3,0,0,0,0,0,0,2,7,4,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,1,0,0
Timeless Temple of Darkflight Pass,Mage,2,Ranger,3,Fighter,1,Mage,2,Cursed Altar,Cursed Altar,Cursed Altar,Poison Needle Trap,Skeletons,,,,,,,,2.25,5,3,0,Poison Needle Trap,1,1,1,1,3,3,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1
Lost Temple of Galoron,Rogue,5,Ranger,5,Cleric,3,Rogue,4,Zombies,Ghosts,Riddle Door,Boulder Trap,Orcs,Cursed Altar,Ghosts,Cursed Altar,Poison Needle Trap,,,,4.75,9,4,0,Orcs,0,0,0,1,5,5,0,0,0,1,3,3,0,0,0,2,9,5,0,0,0,1,0,0,0,1,2,0,0,0,1,0,1,2,0,1
Sunken Den of Calantha,Mage,1,Fighter,2,Fighter,3,Ranger,2,Lever Puzzle Room,Wolves,Boulder Trap,Basilisk,,,,,,,,,2.75,4,4,1,,2,5,3,1,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
Lost Temple of Almadris,Rogue,3,Ranger,3,Cleric,4,Druid,3,Riddle Door,Snake Pit,Lever Puzzle Room,Zombies,Cursed Altar,,,,,,,,2.25,5,5,1,,0,0,0,1,3,3,0,0,0,1,4,4,1,3,3,1,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0
Orc Town of Lemarchand,Cleric,1,Rogue,4,Ranger,1,Rogue,2,Orcs,Poison Needle Trap,Orc Shaman,,,,,,,,,,1.5,3,3,1,,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,2,6,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Dread Den of Azmar,Rogue,4,Fighter,4,Mage,4,Cleric,3,Orcs,Riddle Door,Orcs,Poison Needle Trap,Wolves,Basilisk,,,,,,,3.75,6,6,1,,1,4,4,0,0,0,1,4,4,1,3,3,0,0,0,1,4,4,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1
Old Den of Riverfell,Druid,4,Mage,4,Fighter,3,Druid,3,Cursed Altar,Skeletons,Lever Puzzle Room,Boulder Trap,Lich,,,,,,,,3.5,5,4,0,Lich,1,3,3,0,0,0,1,4,4,0,0,0,2,7,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0
Nightmare Den of Riverfell,Druid,4,Rogue,4,Druid,6,Cleric,4,Snake Pit,Skeletons,Boulder Trap,Poison Needle Trap,Dragon,,,,,,,,4.25,5,5,1,,0,0,0,0,0,0,0,0,0,1,4,4,2,10,6,1,4,4,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1
Timeless Treasure of Lakeshore,Ranger,5,Fighter,4,Ranger,5,Cleric,7,Cursed Altar,Boulder Trap,Skeletons,Lever Puzzle Room,Lich,Riddle Door,Zombies,Snake Pit,Skeletons,,,,5.5,9,9,1,,1,4,4,2,10,5,0,0,0,1,7,7,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,1,1,1,1,1,0
Abandoned Temple of Stonefell Peak,Fighter,2,Rogue,4,Ranger,3,Ranger,1,Skeletons,Skeletons,Boulder Trap,Poison Needle Trap,Poison Needle Trap,,,,,,,,2.25,5,5,1,,1,2,2,2,4,3,0,0,0,0,0,0,0,0,0,1,4,4,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,2
Orc Keep of Riverfell,Mage,4,Druid,1,Mage,2,Ranger,1,Cursed Altar,Orcs,Orcs,Orcs,Cursed Altar,Orcs,,,,,,,2.75,6,3,0,Orcs,0,0,0,1,1,1,2,6,4,0,0,0,1,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Nightmare Lair of Stormwind,Rogue,4,Druid,3,Druid,3,Rogue,3,Boulder Trap,Zombies,Poison Needle Trap,Basilisk,,,,,,,,,2.5,4,4,1,,0,0,0,0,0,0,0,0,0,0,0,0,2,6,3,2,7,4,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
Old Den of Icemarch,Druid,4,Ranger,3,Cleric,3,Rogue,4,Boulder Trap,Riddle Door,Zombies,Riddle Door,Zombies,Lich,,,,,,,4.0,6,6,1,,0,0,0,1,3,3,0,0,0,1,3,3,1,4,4,1,4,4,0,0,0,0,0,0,0,2,0,0,1,0,1,0,2,0,0,0
Ancient Cave of Sintharion,Rogue,6,Druid,5,Mage,5,Ranger,6,Goblins,Snake Pit,Cursed Altar,Goblins,Goblins,Snake Pit,Dragon,,,,,,4.725,7,6,0,Dragon,0,0,0,1,6,6,1,5,5,0,0,0,1,5,5,1,6,6,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0
Nightmare Maw of Khaz-Gorond,Cleric,2,Druid,3,Fighter,4,Mage,2,Lever Puzzle Room,Poison Needle Trap,Zombies,Boulder Trap,Basilisk,,,,,,,,3.0,5,5,1,,1,4,4,0,0,0,1,2,2,1,2,2,1,3,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1
Undead Mausoleum of Galoron,Fighter,3,Mage,2,Druid,3,Cleric,1,Zombies,Boulder Trap,Zombies,Ghosts,,,,,,,,,2.0,4,4,1,,1,3,3,0,0,0,1,2,2,1,1,1,1,3,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0
Lost Treasure of Lakeshore,Cleric,3,Rogue,3,Fighter,1,Ranger,2,Poison Needle Trap,Lever Puzzle Room,Riddle Door,Poison Needle Trap,Zombies,Poison Needle Trap,,,,,,,2.75,6,6,1,,1,1,1,1,2,2,0,0,0,1,3,3,0,0,0,1,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,3
Undead Keep of Icemarch,Ranger,4,Mage,2,Ranger,3,Rogue,4,Skeletons,Cursed Altar,Skeletons,Lich,,,,,,,,,3.0,4,3,0,Lich,0,0,0,2,7,4,1,2,2,0,0,0,0,0,0,1,4,4,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0
Infernal Den of Darkflight Pass,Druid,4,Mage,4,Cleric,4,Rogue,4,Goblins,Boulder Trap,Riddle Door,Wolves,Cursed Altar,Dragon,,,,,,,4.825,6,6,1,,0,0,0,0,0,0,1,4,4,1,4,4,1,4,4,1,4,4,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
Nightmare Den of Lakeshore,Mage,5,Druid,3,Rogue,4,Fighter,3,Skeletons,Lever Puzzle Room,Lever Puzzle Room,Skeletons,Lich,,,,,,,,3.5,5,3,0,Skeletons,1,3,3,0,0,0,1,5,5,0,0,0,1,3,3,1,4,4,0,0,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0
