Dungeon Name,Adventurer 1 Class,Adventurer 1 Level,Adventurer 2 Class,Adventurer 2 Level,Adventurer 3 Class,Adventurer 3 Level,Adventurer 4 Class,Adventurer 4 Level,Encounter 1,Encounter 2,Encounter 3,Encounter 4,Encounter 5,Encounter 6,Encounter 7,Encounter 8,Encounter 9,Encounter 10,Encounter 11,Encounter 12,# Encounters,# Encounters Beaten,Victory?,Defeated By,# of Fighter Adventurers,Total Level of Fighter Adventurers,Max Level of Fighter Adventurers,# of Ranger Adventurers,Total Level of Ranger Adventurers,Max Level of Ranger Adventurers,# of Mage Adventurers,Total Level of Mage Adventurers,Max Level of Mage Adventurers,# of Cleric Adventurers,Total Level of Cleric Adventurers,Max Level of Cleric Adventurers,# of Druid Adventurers,Total Level of Druid Adventurers,Max Level of Druid Adventurers,# of Rogue Adventurers,Total Level of Rogue Adventurers,Max Level of Rogue Adventurers,# of Goblins Encounters,# of Goblin Chieftain Encounters,# of Wolves Encounters,# of Orcs Encounters,# of Orc Warlord Encounters,# of Orc Shaman Encounters,# of Skeletons Encounters,# of Zombies Encounters,# of Ghosts Encounters,# of Basilisk Encounters,# of Lich Encounters,# of Dragon Encounters,# of Boulder Trap Encounters,# of Lever Puzzle Room Encounters,# of Riddle Door Encounters,# of Cursed Altar Encounters,# of Snake Pit Encounters,# of Poison Needle Trap Encounters
Night Goblin Hole of Azmar,Druid,4,Rogue,5,Ranger,3,Ranger,4,Boulder Trap,Ghosts,Boulder Trap,Goblins,Goblins,Unknown,Unknown,,,,,,7,4,0,Goblins,0,0,0,2,7,4,0,0,0,0,0,0,1,4,4,1,5,5,3,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0
Old Den of Almadris,Druid,3,Rogue,3,Mage,3,Mage,4,Zombies,Skeletons,Zombies,Poison Needle Trap,Basilisk,,,,,,,,5,4,0,Basilisk,0,0,0,0,0,0,2,7,4,0,0,0,1,3,3,1,3,3,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,1
Orc Town of Lemarchand,Fighter,4,Mage,6,Rogue,5,Druid,4,Orc Shaman,Orcs,Orcs,Boulder Trap,Boulder Trap,Orc Shaman,Orc Warlord,,,,,,7,7,1,,1,4,4,0,0,0,1,6,6,0,0,0,1,4,4,1,5,5,0,0,0,2,1,2,0,0,0,0,0,0,2,0,0,0,0,0
Lost Treasure of Galoron,Druid,4,Fighter,2,Mage,3,Ranger,3,Snake Pit,Cursed Altar,Poison Needle Trap,Poison Needle Trap,Poison Needle Trap,Ghosts,,,,,,,6,5,0,Ghosts,1,2,2,1,3,3,1,3,3,0,0,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,3
Sunken Lair of Stormwind,Cleric,4,Mage,3,Rogue,6,Cleric,4,Lever Puzzle Room,Skeletons,Skeletons,Boulder Trap,Basilisk,,,,,,,,5,4,0,Basilisk,0,0,0,0,0,0,1,3,3,2,8,4,0,0,0,1,6,6,0,0,0,0,0,0,2,0,0,1,0,0,1,1,0,0,0,0
Dread Lair of Riverfell,Druid,4,Mage,5,Cleric,4,Druid,2,Zombies,Snake Pit,Cursed Altar,Lever Puzzle Room,Lich,,,,,,,,5,5,1,,0,0,0,0,0,0,1,5,5,1,4,4,2,6,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0
Sunken Cave of Stonefell Peak,Ranger,4,Mage,2,Rogue,5,Rogue,2,Cursed Altar,Wolves,Lever Puzzle Room,Basilisk,,,,,,,,,4,3,0,Basilisk,0,0,0,1,4,4,1,2,2,0,0,0,0,0,0,2,7,5,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
Old Cave of Cheliax,Fighter,5,Mage,4,Druid,5,Cleric,4,Poison Needle Trap,Boulder Trap,Goblins,Goblins,Dragon,,,,,,,,5,4,0,Dragon,1,5,5,0,0,0,1,4,4,1,4,4,1,5,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
Undead Sepulcher of Icemarch,Druid,5,Cleric,5,Mage,6,Rogue,6,Boulder Trap,Ghosts,Skeletons,Skeletons,Boulder Trap,Skeletons,Zombies,Boulder Trap,Lich,,,,9,8,0,Lich,0,0,0,0,0,0,1,6,6,1,5,5,1,5,5,1,6,6,0,0,0,0,0,0,3,1,1,0,1,0,3,0,0,0,0,0
Undead Sepulcher of Darkflight Pass,Druid,5,Druid,3,Fighter,5,Cleric,4,Skeletons,Zombies,Boulder Trap,Ghosts,Boulder Trap,Boulder Trap,Skeletons,Skeletons,Zombies,,,,9,9,1,,1,5,5,0,0,0,0,0,0,1,4,4,2,8,5,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,3,0,0,0,0,0
Night Goblin Tunnels of Calantha,Cleric,4,Mage,6,Ranger,5,Fighter,6,Goblins,Poison Needle Trap,Goblins,Goblins,Poison Needle Trap,Goblins,Ghosts,Ghosts,Poison Needle Trap,Goblins,Poison Needle Trap,Unknown,12,10,0,Poison Needle Trap,1,6,6,1,5,5,1,6,6,1,4,4,0,0,0,0,0,0,5,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4
Old Lair of Icemarch,Rogue,4,Druid,3,Mage,3,Cleric,4,Skeletons,Lever Puzzle Room,Skeletons,Skeletons,Lich,,,,,,,,5,5,1,,0,0,0,0,0,0,1,3,3,1,4,4,1,3,3,1,4,4,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0
Infernal Cave of Almadris,Mage,3,Cleric,3,Fighter,3,Druid,2,Zombies,Skeletons,Cursed Altar,Zombies,Lich,,,,,,,,5,5,1,,1,3,3,0,0,0,1,3,3,1,3,3,1,2,2,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,0,0
Abandoned Treasure of Icemarch,Fighter,3,Druid,5,Cleric,4,Rogue,4,Lever Puzzle Room,Skeletons,Skeletons,Riddle Door,Lever Puzzle Room,Skeletons,Unknown,Unknown,,,,,8,5,0,Skeletons,1,3,3,0,0,0,0,0,0,1,4,4,1,5,5,1,4,4,0,0,1,0,0,0,3,0,0,0,0,0,0,2,1,0,1,0
Orc Warcamp of Galoron,Druid,2,Fighter,3,Ranger,4,Mage,2,Poison Needle Trap,Wolves,Orc Warlord,,,,,,,,,,3,3,1,,1,3,3,1,4,4,1,2,2,0,0,0,1,2,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
